time (UTC),G (W/m^2),Tamb (C),generation_kw
01/01/2019 00:00:00,0,4.541,0
01/01/2019 01:00:00,0,4.146,0
01/01/2019 02:00:00,0,3.689,0
01/01/2019 03:00:00,0,3.495,0
01/01/2019 04:00:00,0,3.448,0
01/01/2019 05:00:00,0,3.459,0
01/01/2019 06:00:00,0,3.57,0
01/01/2019 07:00:00,0,3.607,0
01/01/2019 08:00:00,3.386,3.609,0
01/01/2019 09:00:00,29.798,3.829,0.018
01/01/2019 10:00:00,66.444,4.333,0.052
01/01/2019 11:00:00,101.522,5.069,0.094
01/01/2019 12:00:00,146.57,5.763,0.187
01/01/2019 13:00:00,143.988,6.032,0.229
01/01/2019 14:00:00,87.236,5.297,0.142
01/01/2019 15:00:00,16.172,3.488,0.021
01/01/2019 16:00:00,0,2.894,0
01/01/2019 17:00:00,0,2.948,0
01/01/2019 18:00:00,0,3.145,0
01/01/2019 19:00:00,0,3.33,0
01/01/2019 20:00:00,0,3.463,0
01/01/2019 21:00:00,0,3.568,0
01/01/2019 22:00:00,0,3.692,0
01/01/2019 23:00:00,0,3.653,0
